,actor_id,actor_movieCount,actor_ratingSum,actor_normalizedMovieRank,actor_googleHits,actor_normalizedGoogleRank,actor_normalizedRating
0,373,11,1170,9.448619842529297,2460000,7.342830181121826,373
1,374,23,2000,7.5500898361206055,2670000,7.884580135345459,374
2,375,36,2340,5.402170181274414,3490000,10,375
3,376,17,1640,8.480819702148438,2120000,6.465700149536133,376
4,377,16,1080,5.646739959716797,3000000,8.735910415649414,377
5,378,16,1120,5.891300201416016,2650000,7.832980155944824,378
6,379,36,1990,4.451089859008789,3130000,9.071279525756836,379
7,380,37,2200,4.860159873962402,2940000,8.581119537353516,380
8,381,11,890,6.958499908447266,1860000,5.794960021972656,381
9,382,6,450,6.380430221557617,1780000,5.588580131530762,382
10,383,27,1370,4.00724983215332,2610000,7.729790210723877,383
11,384,48,2140,3.4048900604248047,2770000,8.142560005187988,384
12,385,8,730,7.970109939575195,960000,3.4731600284576416,385
13,386,4,340,7.358699798583984,1190000,4.066510200500488,386
14,387,49,2320,3.6752400398254395,2570000,7.6265997886657715,387
15,388,5,560,10,35900,1.0891799926757812,388
16,389,6,370,5.076089859008789,1860000,5.794960021972656,389
17,390,5,320,5.304349899291992,1690000,5.356400012969971,390
18,391,54,2950,4.3876800537109375,1960000,6.0529398918151855,391
19,392,7,500,6.031060218811035,1320000,4.401879787445068,392
20,393,16,1040,5.402170181274414,1340000,4.453470230102539,393
21,394,16,780,3.8125,1930000,5.9755401611328125,394
22,395,5,350,5.891300201416016,1120000,3.8859200477600098,395
23,396,8,310,2.834239959716797,2270000,6.852670192718506,396
24,397,23,1100,3.7221200466156006,1800000,5.640170097351074,397
25,398,26,1250,3.746659994125366,1760000,5.536980152130127,398
26,399,19,790,3.1109800338745117,1930000,5.9755401611328125,399
27,400,7,390,4.493790149688721,1350000,4.479269981384277,400
28,401,9,490,4.369569778442383,1360000,4.505070209503174,401
29,402,8,280,2.4673900604248047,2080000,6.3625102043151855,402
30,403,4,400,8.826089859008789,0,NULL,403
31,404,34,1770,4.136189937591553,1260000,4.247089862823486,404
32,405,12,680,4.5869598388671875,1020000,3.6279399394989014,405
33,406,9,400,3.3912999629974365,1480000,4.814640045166016,406
34,407,16,700,3.3233699798583984,1480000,4.814640045166016,407
35,408,12,630,4.179349899291992,1140000,3.9375200271606445,408
36,409,43,1740,3.0020198822021484,1560000,5.021029949188232,409
37,410,5,310,5.108699798583984,737000,2.8978700637817383,410
38,411,7,310,3.3757801055908203,1300000,4.350279808044434,411
39,412,16,880,4.423910140991211,877000,3.259040117263794,412
40,413,17,680,2.9565200805664062,1430000,4.685649871826172,413
41,414,26,1400,4.311039924621582,861000,3.2177600860595703,414
42,415,34,1570,3.5607399940490723,1050000,3.7053399085998535,415
43,416,7,450,5.332300186157227,311000,1.7988799810409546,416
44,417,4,330,7.114130020141602,0,NULL,417
45,418,20,1270,5.255430221557617,312000,1.8014600276947021,418
46,419,19,880,3.5743699073791504,934000,3.4060800075531006,419
47,420,18,850,3.6630399227142334,867000,3.2332398891448975,420
48,421,15,400,1.652169942855835,1640000,5.227409839630127,421
49,422,11,730,5.53557014465332,125000,1.3190399408340454,422
50,423,12,650,4.342390060424805,510000,2.3122599124908447,423
51,424,17,810,3.7046000957489014,737000,2.8978700637817383,424
52,425,32,1100,2.40625,1230000,4.1697001457214355,425
53,426,10,650,5.402170181274414,25100,1.0613199472427368,426
54,427,12,570,3.6902201175689697,669000,2.722440004348755,427
55,428,6,260,3.2826099395751953,824000,3.122309923171997,428
56,429,14,840,4.9130401611328125,173000,1.442870020866394,429
57,430,9,520,4.695650100708008,243000,1.623460054397583,430
58,431,6,320,4.260869979858398,380000,1.976889967918396,431
59,432,27,1410,4.152170181274414,386000,1.99235999584198,432
60,433,4,290,6.135869979858398,0,NULL,433
61,434,19,1070,4.5526299476623535,165000,1.4222300052642822,434
62,435,24,1140,3.6902201175689697,476000,2.2245399951934814,435
63,436,30,1660,4.456520080566406,176000,1.4506100416183472,436
64,437,5,350,5.891300201416016,0,NULL,437
65,438,5,350,5.891300201416016,0,NULL,438
66,439,19,1010,4.243710041046143,240000,1.6157200336456299,439
67,440,14,700,3.9347798824310303,339000,1.871109962463379,440
68,441,6,340,4.5869598388671875,70400,1.178189992904663,441
69,442,6,150,1.4891300201416016,1260000,4.247089862823486,442
70,443,15,820,4.391300201416016,129000,1.329360008239746,443
71,444,19,880,3.5743699073791504,416000,2.0697600841522217,444
72,445,11,510,3.579050064086914,385000,1.9897799491882324,445
73,446,22,1100,3.9347798824310303,217000,1.556380033493042,446
