,act_movie_count,act_movie_ratingSum,act_movie_normalizedMovieRank,act_mean_movie_googleHits,act_mean_movie_normalizedGoogleRank,act_mean_movie_normalizedRating,dir_movie_count,dir_movie_ratingSum,dir_movie_normalizedMovieRank,dir_mean_movie_googleHits,dir_mean_movie_normalizedGoogleRank,dir_mean_movie_normalizedRating,hitflop
117,13.25,585.0,1.5903525352478027,692500.0,2.035640001296997,2.281595051288605,0.0,0.0,0.0,0.0,0.0,0.0,6
118,18.0,635.0,2.0218849778175354,791150.0,3.0375649631023407,3.313597440719605,9.0,230.0,1.3947399854660034,57600.0,1.4197800159454346,1.46638000011444,2
119,15.25,855.0,2.8477624654769897,776250.0,2.5008373856544495,3.3708774149417877,0.0,0.0,0.0,0.0,0.0,0.0,2
120,21.0,897.5,2.7926474511623383,754725.0,2.943589925765991,3.6993224024772626,7.0,600.0,5.669169902801514,34400.0,1.247040033340454,5.60761976242065,3
121,16.75,522.5,1.2659150063991547,272400.0,1.450160026550293,1.8705224990844727,0.0,0.0,0.0,0.0,0.0,0.0,1
122,23.75,1312.5,2.6842424869537354,1225000.0,3.6585148572921753,3.937474846839905,4.0,120.0,1.7105300426483154,10300.0,1.0676100254058838,1.70601999759674,2
123,0.0,0.0,0.0,0.0,0.0,0.0,5.0,130.0,1.42631995677948,22800.0,1.1606700420379639,1.44660997390747,2
124,26.0,952.5,2.3075700104236603,552675.0,2.1732075214385986,2.9837949573993674,0.0,0.0,0.0,0.0,0.0,0.0,1
125,16.75,567.5,1.7061325311660767,325750.0,1.5877925157546997,2.1998550295829773,3.0,80.0,1.473680019378662,95800.0,1.704200029373169,1.59905004501343,1
126,12.5,382.5,1.9569400250911713,622000.0,2.352049946784973,2.8858900368213676,0.0,0.0,0.0,0.0,0.0,0.0,1
127,19.25,717.5,2.0838325023651123,706000.0,2.568749964237213,2.9741950035095197,5.0,120.0,1.284209966659546,5370.0,1.030900001525879,1.28245997428894,1
128,6.5,235.0,1.5754075050354004,373975.0,1.463057518005371,2.05426251888275,0.0,0.0,0.0,0.0,0.0,0.0,1
129,20.25,965.0,3.57098251581192,1121250.0,3.8891449570655823,4.6818175315856925,17.0,680.0,2.4210500717163086,934000.0,7.945040225982666,3.74349999427795,6
130,12.0,417.5,0.9833075106143951,163850.0,0.9209825098514557,1.30034503340721,0.0,0.0,0.0,0.0,0.0,0.0,1
131,8.5,302.5,1.644592523574829,1037500.0,3.423947513103485,3.2112624645233177,7.0,420.0,3.8421099185943604,239000.0,2.770400047302246,4.12063980102539,2
132,7.25,195.0,1.3145374953746796,158975.0,1.157547503709793,1.7314649522304526,10.0,490.0,3.060529947280884,185000.0,2.368340015411377,3.27870988845825,2
133,22.5,765.0,2.2081525325775146,574425.0,2.4784600138664246,3.1011049747467028,6.0,170.0,1.59211003780365,28300.0,1.2016199827194214,1.61653995513916,2
134,14.5,450.0,1.6620900332927704,275500.0,1.4581575095653534,2.100872457027435,6.0,270.0,2.776319980621338,11100.0,1.0735599994659424,2.74817991256714,1
135,3.5,100.0,0.45962750911712646,22675.0,0.3076375126838684,0.544804990291595,4.0,140.0,2.0657899379730225,58700.0,1.427970051765442,2.12342000007629,2
136,1.0,20.0,0.25,0.0,0.0,0.25,4.0,80.0,1.0,1060000.0,8.883170127868652,2.53876996040344,1
137,9.5,645.0,3.4001975059509277,711500.0,2.3337975442409515,3.4830049872398376,0.0,0.0,0.0,0.0,0.0,0.0,2
138,26.75,1437.5,3.135842502117157,1456750.0,4.50552237033844,4.677587389945986,5.0,240.0,2.9894700050354004,75400.0,1.5523099899291992,3.04990005493164,6
139,2.0,45.0,0.6222825050354004,0.0,0.0,0.5696924924850475,0.0,0.0,0.0,0.0,0.0,0.0,1
140,15.25,980.0,3.8203275203704834,860250.0,2.966680020093918,4.190667450428007,0.0,0.0,0.0,0.0,0.0,0.0,6
141,22.0,1115.0,4.204817533493042,1204750.0,4.1045598685741425,5.1658250093460065,6.0,390.0,4.1973700523376465,1110000.0,9.255450248718262,5.73446989059448,3
142,8.75,247.5,1.337374985218048,229500.0,1.3394850194454193,1.8481749594211574,4.0,170.0,2.598680019378662,59100.0,1.4309500455856323,2.64449000358582,2
143,17.75,1117.5,5.0769049525260925,1344350.0,4.464697599411011,5.868104994297025,2.5,95.0,1.1394749879837036,26850.0,0.6953700184822083,1.16217005252838,6
144,41.75,2047.5,3.8200775384902954,2307500.0,6.9494099617004395,6.567914962768556,7.0,310.0,2.725559949874878,42300.0,1.3058600425720215,2.74398994445801,4
145,40.0,1710.0,3.257764995098114,1612500.0,5.156464993953705,5.225582361221313,0.0,0.0,0.0,0.0,0.0,0.0,2
146,23.5,1125.0,3.694974958896637,1056500.0,3.7221075892448425,4.657279968261717,4.0,440.0,7.394740104675293,1060000.0,8.883170127868652,8.78472995758057,6
147,11.5,315.0,1.8170974850654602,136750.0,1.1002099812030792,2.09273248910904,0.0,0.0,0.0,0.0,0.0,0.0,1
148,13.0,480.0,2.161684989929199,594500.0,2.281104952096939,2.9621450304985024,0.0,0.0,0.0,0.0,0.0,0.0,1
149,0.0,0.0,0.0,0.0,0.0,0.0,6.0,410.0,4.434209823608398,16600.0,1.1145100593566895,4.37550020217896,1
150,11.0,537.5,2.6655600666999817,311500.0,1.5510274767875671,2.7257100343704224,0.0,0.0,0.0,0.0,0.0,0.0,6
151,1.75,62.5,0.6343175172805786,6125.0,0.2649424970149994,0.620032489299775,6.0,290.0,3.013159990310669,64100.0,1.4681700468063354,3.05660009384155,1
152,28.25,1432.5,4.1605125069618225,1503750.0,4.875912368297577,5.58019244670868,0.0,0.0,0.0,0.0,0.0,0.0,2
153,5.75,200.0,1.7004700303077698,137825.0,0.8538424968719482,1.778329968452455,4.0,255.0,2.0542750358581543,377500.0,3.306144952774048,2.56569504737854,2
154,12.25,560.0,2.271737575531006,454000.0,1.669502466917038,2.5687825381755824,0.0,0.0,0.0,0.0,0.0,0.0,1
155,26.75,1120.0,3.227737456560135,964300.0,3.4842500388622284,4.2554274797439575,0.0,0.0,0.0,0.0,0.0,0.0,6
156,4.25,130.0,1.0400824844837189,176000.0,0.9523249864578247,1.3505649566650375,0.0,0.0,0.0,0.0,0.0,0.0,1
157,21.75,690.0,1.8636625111103058,591750.0,2.5231549739837646,2.9302450418472272,0.0,0.0,0.0,0.0,0.0,0.0,1
