,director_id,director_movieCount,director_ratingSum,director_normalizedMovieRank,director_googleHits,director_normalizedGoogleRank,director_normalizedRating
0,1,3,440,10.0,146000,2.0779600143432617,10.0
1,2,4,440,7.394740104675293,1060000,8.883170127868652,8.78472995758057
2,3,5,430,5.689469814300537,1050000,8.808719635009766,7.10459995269775
3,4,4,350,5.796050071716309,905000,7.7291197776794425,6.99779987335205
4,5,10,950,6.328949928283691,437000,4.244609832763672,6.837609767913821
5,6,3,270,5.973680019378662,666000,5.9496397972106925,6.8236799240112305
6,7,6,390,4.197370052337647,1110000,9.255450248718262,5.73446989059448
7,8,4,290,4.730259895324707,742000,6.5154900550842285,5.71972990036011
8,9,5,400,5.263160228729248,312000,3.313920021057129,5.6148099899292
9,10,7,600,5.669169902801514,34400,1.247040033340454,5.607619762420651
10,11,4,330,5.440790176391602,153000,2.130079984664917,5.5570502281189
11,12,3,240,5.263160228729248,68900,1.5039099454879759,5.26122999191284
12,13,8,510,4.108550071716309,755000,6.612289905548097,5.13139009475708
13,14,8,560,4.5526299476623535,319000,3.3660399913787837,4.93099021911621
14,15,5,300,3.84210991859436,790000,6.872879981994629,4.92204999923706
15,16,5,270,3.41579008102417,1050000,8.808719635009766,4.88381004333496
16,17,3,170,3.605259895324707,921000,7.8482398986816415,4.88124990463257
17,18,11,670,3.9066998958587646,622000,5.622029781341553,4.740789890289309
18,19,3,220,4.789470195770264,20700,1.1450400352478027,4.72845983505249
19,20,3,220,4.789470195770264,5100,1.0288900136947632,4.70577001571655
20,21,3,140,2.894740104675293,1210000,10.0,4.60759019851685
21,22,4,280,4.5526299476623535,29900,1.2135399580001829,4.5105099678039595
22,23,6,410,4.434209823608398,16600,1.1145100593566897,4.3755002021789595
23,24,7,420,3.84210991859436,239000,2.770400047302246,4.12063980102539
24,25,4,250,4.019740104675293,107000,1.7875900268554688,4.102149963378911
25,26,5,310,3.9842100143432617,112000,1.824820041656494,4.074729919433589
26,27,3,160,3.3684198856353764,500000,4.713679790496826,4.03759002685547
27,28,3,120,2.4210500717163086,1010000,8.510899543762207,3.8540399074554403
28,29,19,1050,3.505539894104004,277000,3.053329944610596,3.84717988967896
29,30,3,180,3.84210991859436,27800,1.1979000568389893,3.81346011161804
30,31,5,250,3.1315801143646236,460000,4.415860176086426,3.7480800151825
31,32,17,680,2.4210500717163086,934000,7.945040225982666,3.74349999427795
32,33,5,210,2.563159942626953,769000,6.716519832611084,3.6423099040985094
33,34,10,580,3.7000000476837163,4700,1.0259100198745728,3.64106011390686
34,35,10,580,3.7000000476837163,3890,1.0198800563812256,3.63988995552063
35,36,7,390,3.5375900268554688,105000,1.772699952125549,3.6283199787139906
36,37,7,370,3.334589958190918,227000,2.681050062179565,3.6074800491332994
37,38,5,180,2.1368401050567627,937000,7.96737003326416,3.4702699184417702
38,39,3,160,3.3684198856353764,98600,1.7250499725341797,3.45376992225647
39,40,10,490,3.060529947280884,185000,2.368340015411377,3.27870988845825
40,41,5,260,3.2736799716949463,7700,1.0482499599456787,3.2290298938751203
41,42,3,120,2.4210500717163086,487000,4.616889953613281,3.09335994720459
42,43,6,290,3.013159990310669,64100,1.4681700468063354,3.0566000938415496
43,44,5,240,2.9894700050354004,75400,1.5523099899291992,3.04990005493164
44,45,8,240,1.7105300426483154,928000,7.900360107421875,3.04078006744385
45,46,3,120,2.4210500717163086,418000,4.103149890899658,2.99300003051758
46,47,16,640,2.4210500717163086,356000,3.6415200233459473,2.90282011032104
47,48,5,230,2.8473699092864986,42300,1.3058600425720217,2.86296010017395
48,49,3,140,2.894740104675293,1480,1.0019400119781494,2.84984993934631
49,50,4,180,2.776319980621338,37000,1.2663999795913696,2.7858500480651895
50,51,6,270,2.776319980621338,11100,1.0735599994659424,2.74817991256714
51,52,7,310,2.725559949874878,42300,1.3058600425720217,2.7439899444580096
52,53,4,180,2.776319980621338,5480,1.0317200422286987,2.7400100231170694
53,54,3,120,2.4210500717163086,244000,2.807620048522949,2.7399299144744904
54,55,9,380,2.5789499282836914,97300,1.7153700590133667,2.6807799339294403
55,56,4,170,2.598680019378662,59100,1.4309500455856323,2.64449000358582
56,57,3,130,2.65789008140564,14700,1.1003700494766235,2.63774991035461
57,58,3,130,2.65789008140564,3030,1.0134799480438232,2.6207799911499
58,59,4,80,1.0,1060000,8.883170127868652,2.53876996040344
59,60,3,120,2.4210500717163086,29900,1.2135399580001829,2.4285299777984597
60,61,3,120,2.4210500717163086,1220,1.0,2.3868100643158
61,62,5,140,1.5684200525283811,542000,5.026390075683594,2.34055995941162
62,63,5,190,2.2789499759674072,53700,1.3907400369644165,2.3243401050567596
63,64,3,110,2.184210062026977,67500,1.4934899806976318,2.2518799304962203
64,65,3,120,2.4210500717163086,0,0.0,2.1914598941803
65,66,6,220,2.184210062026977,9420,1.0610500574111938,2.16740989685059
66,67,3,60,1.0,786000,6.843100070953369,2.14024996757507
67,68,4,140,2.0657899379730225,58700,1.427970051765442,2.12342000007629
68,69,3,90,1.7105300426483154,278000,3.0607700347900386,2.09538006782532
69,70,3,100,1.9473700523376465,75000,1.5493299961090088,2.03146004676819
70,71,6,190,1.828950047492981,18700,1.1301499605178833,1.83390998840332
71,72,8,250,1.799340009689331,24800,1.175570011138916,1.8138600587844802
72,73,3,90,1.7105300426483154,79500,1.5828399658203125,1.8066699504852302
73,74,3,90,1.7105300426483154,23200,1.1636500358581543,1.72478997707367
74,75,4,120,1.7105300426483154,11400,1.0757999420166016,1.7076200246810902
75,76,4,120,1.7105300426483154,10300,1.0676100254058838,1.70601999759674
76,77,3,90,1.7105300426483154,3160,1.0144399404525757,1.6956399679183998
77,78,5,130,1.42631995677948,149000,2.100300073623657,1.63015997409821
78,79,6,170,1.59211003780365,28300,1.2016199827194214,1.61653995513916
79,80,5,140,1.5684200525283811,36900,1.265660047531128,1.6059099435806299
80,81,3,80,1.4736800193786619,95800,1.704200029373169,1.5990500450134297
81,82,5,140,1.5684200525283811,24800,1.175570011138916,1.5883100032806399
82,83,4,110,1.53288996219635,32800,1.235129952430725,1.5652500391006499
83,84,3,80,1.4736800193786619,9400,1.0608999729156494,1.4733799695968601
